County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Kings,750471,Store,JAC,VANILLA GOURMET NY CORP,A&D TURKISH HALAL MEAT,7921,5TH AVENUE,,,BROOKLYN,NY,11209,2000,POINT (-74.02411 40.6259)
Queens,750460,Store,JAC,VARIEDADES GG CORP,VARIEDADES GG,92-11,37TH AVENUE,,,JACKSON HEIGHTS,NY,11372,0,POINT (-73.87478 40.75075)
Kings,750454,Store,A,DOLLAR ZONE OF TRIANGLE JUNCTION,ONE DOLLAR ZONE JUNCTIO,1608,FLATBUSH AVENUE,,,BROOKLYN,NY,11210,8600,POINT (-73.94606 40.63132)
Queens,750382,Store,JAC,ELMHURST DELI & JUICE BAR CORP,ELMHURST DELI & JUICE B,80-03,BROADWAY,,,ELMHURST,NY,11373,1000,POINT (-73.88494 40.74389)
Kings,750354,Store,JAC,SEAFOOD KINGDOM INC,SEAFOOD KINGDOM,1224,FLATBUSH AVENUE,,,BROOKLYN,NY,11226,1000,POINT (-73.95549 40.64035)
Kings,750291,Store,JAC,1 FRESH DELI & GRILL CORP,FRESH DELI & GRILL,3079,FULTON STREET,,,BROOKLYN,NY,11208,1000,POINT (-73.88119 40.68107)
New York,750281,Store,JAC,BROADWAY SAGE CORP,BROADWAY SAGE,3360,BROADWAY,,,NEW YORK,NY,10031,0,POINT (-73.95459 40.8206)
Kings,750250,Store,JABCD,POP SHOP BROOKLYN LLC,SHOWROOM BAKEHOUSE THE,162,7TH AVENUE,,,BROOKLYN,NY,11215,1200,POINT (-73.97729 40.67202)
Nassau,750221,Store,JACH,BROOKLYN PASTA LAB INC,BROOKLYN PASTA LAB,162,MAIN STREET,,,PORT WASHINGTON,NY,11050,2000,POINT (-73.69309 40.83069)
Bronx,750192,Store,JAC,BRONX GOLDEN APPLE FARM INC,COMMUNITY GREEN MARKET,2228,WHITE PLAINS ROAD,,,BRONX,NY,10467,2500,POINT (-73.86756 40.85846)
Kings,750129,Store,JAC,MIDWAY DELI AND TOBACCO CORP,MIDWAY DELI AND TOBACCO,2630,ATLANTIC AVENUE,,,BROOKLYN,NY,11207,1000,POINT (-73.89723 40.67565)
Queens,750115,Store,JAC,BLUE ISLAND SEAFOOD CORP,BLUE ISLAND SEAFOOD,28-19,STEINWAY STREET,,,ASTORIA,NY,11103,0,POINT (-73.91412 40.76497)
Kings,750081,Store,JAC,7 STARS SEAFOOD MARKET INC,SEVEN STARS,1706,CHURCH AVENUE,,,BROOKLYN,NY,11226,0,POINT (-73.96371 40.64918)
New York,750046,Store,JAC,YOUR FAMOUS DELI INC,YOUR FAMOUS DELI,1870,LEXINGTON AVENUE,,,NEW YORK,NY,10029,0,POINT (-73.9418 40.79838)
Bronx,750033,Store,JAC,GOURMET MARKET & BAGEL INC,GOURMET MARKET & BAGEL,5993,BROADWAY,,,BRONX,NY,10471,1500,POINT (-73.89791 40.89041)
Suffolk,750023,Store,A,CENTRAL STATION MARKET INC,CENTRAL STATION MARKET,100,BROADWAY,,,HUNTINGTON STATION,NY,11746,100,POINT (-73.40789 40.8542)
Monroe,749984,Store,JAC,RITAJ EXPRESS MART LLC,RITAJ EXPRESS MART,446,JAY STREET,,,ROCHESTER,NY,14611,0,POINT (-77.63216 43.15948)
