County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
New York,747589,Store,JAC,MARS RETAIL GROUP INC,M & M WORLD NYC,1600,BROADWAY,,,NEW YORK,NY,10019,20000,POINT (-73.98469 40.76035)
Suffolk,747570,Store,JAC,RN786 INC,7-ELEVEN STORE #38533A,733,PARK AVENUE,,,HUNTINGTON,NY,11743,3000,POINT (-73.39821 40.86007)
Delaware,747535,Store,JAC,H+H LLC,ROASTED,36,MAIN STREET,,,SIDNEY,NY,13838,450,POINT (-75.39184 42.31513)
Kings,747462,Store,A,SANOU MB CORP,SANOU MB,2109,CORTELYOU ROAD,,,BROOKLYN,NY,11226,0,POINT (-73.95833 40.64396)
Richmond,747343,Store,JAC,99C AND MORE CORP I,99C AND MORE,225,BROAD STREET,,,STATEN ISLAND,NY,10304,800,POINT (-74.08224 40.62376)
Queens,747331,Store,JAC,7 ELEVEN INC,7 ELEVEN STORE #34439K,59-01,ROOSEVELT AVENUE,,,WOODSIDE,NY,11377,0,POINT (-73.90521 40.74541)
Kings,747329,Store,JAC,509 MEAT CORP,URBAN MARKET PARK SLOPE,509,5TH AVENUE,,,BROOKLYN,NY,11215,7000,POINT (-73.98807 40.66704)
Albany,747274,Store,JAC,COUNTRY STOP N SHOP INC,COUNTRY STOP N' SHOP,200,MAIN STREET,,,ALTAMONT,NY,12009,0,POINT (-74.03363 42.70091)
Ulster,747214,Store,JAC,ROSENDALE FOOD MART INC,ROSENDALE FOOD MART,3490-3492,MAIN STREET,,,STONE RIDGE,NY,12484,0,POINT (-74.13807 41.85407)
Richmond,747201,Store,JAC,Y & R DELI & GROCERY INC,Y & R DELI & GROCERY,345,VICTORY BOULEVARD,,,STATEN ISLAND,NY,10301,1000,POINT (-74.08593 40.63374)
Steuben,747129,Store,JAC,MICHAEL JOHNS MINI MARKET & DELI,MICHAEL JOHN'S MINI MAR,290,MAIN STREET,,,HORNELL,NY,14843,0,POINT (-77.65244 42.32424)
Queens,747102,Store,JAC,ROJAS DELI GROCERY CORP,ROJAS DELI GROCERY,146-10,HILLSIDE AVENUE,,,JAMAICA,NY,11435,2000,POINT (-73.81018 40.70558)
Queens,747067,Store,JAC,MANGO RICO MARKET INC,MANGO RICO,75-28,37TH AVENUE,,,JACKSON HEIGHTS,NY,11372,1500,POINT (-73.89049 40.74909)
Erie,747061,Store,JAC,EXPRESS WAY MART INC,XPRESSWAY MART,1381,MAIN STREET,,,BUFFALO,NY,14209,0,POINT (-78.86598 42.91119)
New York,747050,Store,JAC,1 LA ISLA FOOD CORP,LA ISLA FOOD,1901,LEXINGTON AVENUE,,,NEW YORK,NY,10035,900,POINT (-73.94053 40.80011)
New York,747047,Store,JAC,KHAN ALIYAH,7-ELEVEN STORE 35522D,600,COLUMBUS AVENUE,,,NEW YORK,NY,10024,0,POINT (-73.97073 40.78852)
Queens,747042,Store,JAC,NB DELI & GROCERY INC,NB DELI & GROCERY,118-18,JAMAICA AVENUE,,,RICHMOND HILL,NY,11418,0,POINT (-73.83112 40.69996)
Kings,747039,Store,JAC,WANG LONG 86 SUPERMARKET INC,STAR MARKET,1778,86TH STREET,,,BROOKLYN,NY,11214,0,POINT (-74.0029 40.60742)
Suffolk,747007,Store,A,"ARGUETA, JOSE W & GELVIS N",ENCOMIENDAS Y TIENDITA,206,BROADWAY,,,AMITYVILLE,NY,11701,0,POINT (-73.41724 40.67945)
Queens,747003,Store,JAC,MK FOREST DELI & CONVENIENCE INC,MK FOREST DELI,66-55,FOREST AVENUE,,,RIDGEWOOD,NY,11385,1000,POINT (-73.90255 40.70598)
Kings,746933,Store,JAC,CALZADO Y VARIEDADES TIPICOS JUAN,CALZADO Y VARIEDADES TI,1710,86TH STREET,,,BROOKLYN,NY,11214,1500,POINT (-74.00454 40.60841)
Queens,746915,Store,JAC,79TH MEAT CORP,SUPERFRESH,78-11-15,NORTHERN BOULEVARD,,,JACKSON HEIGHTS,NY,11372,0,POINT (-73.8887 40.7552)
Suffolk,746888,Store,JAC,SUGARED UP INC,SUGARED UP!,522,MAIN STREET,,,ISLIP,NY,11751,1200,POINT (-73.21361 40.72921)
Queens,746845,Store,JAC,US 1 SUPERMARKET INC,US 1 SUPERMARKET,39-12,MAIN STREET,,,FLUSHING,NY,11354,22000,POINT (-73.83026 40.75983)
New York,746837,Store,JAC,ANZ ONE STOP CORP,ANZ ONE STOP,141,LEXINGTON AVENUE,,,NEW YORK,NY,10016,0,POINT (-73.98189 40.74343)
Dutchess,746813,Store,A,DOCS POUGHKEEPSIE INC.,DOCS NUTRITION DEPOT,1054,MAIN STREET,,,FISHKILL,NY,12524,1000,POINT (-73.90421 41.53446)
Rensselaer,746770,Store,JAC,QUDRAT INC,QUDRAT,491,5TH AVENUE,,,TROY,NY,12182,1200,POINT (-73.67507 42.77089)
Kings,746745,Store,JAC,PETRICHOR LLC,HORSERADISH,839,BROADWAY,,,BROOKLYN,NY,11206,0,POINT (-73.93876 40.69896)
Suffolk,746743,Store,JAC,REXER FAMILY FARM LLC,REXER FAMILY FARM,1028,PARK AVENUE,,,HUNTINGTON,NY,11743,0,POINT (-73.3681 40.83992)
New York,746632,Store,JAC,4490 FOOD CORP,SHOP FAIR FRESH,4490,BROADWAY,,,NEW YORK,NY,10040,0,POINT (-73.93199 40.85796)
Dutchess,746545,Store,JAC,DK BREWERY CORP,ZEUS BREWING CO,178,MAIN STREET,,,POUGHKEEPSIE,NY,12601,0,POINT (-73.93205 41.70499)
New York,746541,Store,JAC,ISABELLAS GROCERY CORP,ISABELLAS GROCERY,1729,LEXINGTON AVENUE,,,NEW YORK,NY,10029,1500,POINT (-73.94545 40.79338)
Kings,746533,Store,JAC,LOPEZ DELI GROCERY CORP,LOPEZ DELI GROCERY,4824,7TH AVENUE,,,BROOKLYN,NY,11220,1000,POINT (-74.00522 40.64311)
Queens,746411,Store,JAC,FAMILY MART INC,FAMILY MART,29-15,BROADWAY,,,ASTORIA,NY,11106,0,POINT (-73.92644 40.76247)
Queens,746404,Store,JAC,A&P LOTTERY STORE INC,A&P LOTTERY STORE,73-02,37TH AVENUE,,,JACKSON HEIGHTS,NY,11372,1000,POINT (-73.89257 40.74887)
Bronx,746335,Store,A,EAST 219 GOURMET DELI CORP,EAST 219 GOURMET DELI,3801,WHITE PLAINS ROAD,,,BRONX,NY,10467,1200,POINT (-73.86279 40.88371)
Suffolk,746323,Store,JAC,WORLD BEAUTY WONDERS INC,BACKHOME SUPERMARKET,573,BROADWAY,,,AMITYVILLE,NY,11701,1000,POINT (-73.4221 40.69253)
Richmond,746299,Store,JAC,NEW DORP CENTRAL DELI CORP,NEW DORP CENTRAL DELI,360A,NEW DORP LANE,,,STATEN ISLAND,NY,10306,2000,POINT (-74.11059 40.57092)
Kings,746265,Store,JAC,BETWEEN THE BUNS GOURMET CORP,BETWEEN THE BUNS GOURME,774,BROADWAY,,,BROOKLYN,NY,11206,1100,POINT (-73.9408 40.70012)
Suffolk,746221,Store,JAC,GREEN NUTRITION CORP,CITYLIFE NUTRITION,214,BROADWAY,,,AMITYVILLE,NY,11701,1000,POINT (-73.4172 40.67963)
Schenectady,746215,Store,JAC,LENT HEATHER,BITTERSWEET CANDY,173,JAY STREET,,,SCHENECTADY,NY,12305,0,POINT (-73.94102 42.81295)
Nassau,746184,Store,JAC,MUKTI 239 PETROLEUM INC,EXXON MOBIL,566,FULTON STREET,,,FARMINGDALE,NY,11735,0,POINT (-73.44831 40.72851)
Westchester,746170,Store,JAC,RALEO VALLEY INC,FRIENDS VALLEY BROOK MA,1053,MAIN STREET,,,PEEKSKILL,NY,10566,3950,POINT (-73.91765 41.29185)
Kings,746166,Store,JAC,EL NUEVO TAMARINDO DELI GROCERY C,EL NUEVO TAMARINDO DELI,1729,86TH STREET,,,BROOKLYN,NY,11214,1500,POINT (-74.00377 40.60794)
Ulster,746155,Store,JAC,MEAT THINGS INC,MEAT THINGS,636,BROADWAY,,,KINGSTON,NY,12401,1000,POINT (-74.00598 41.93009)
Bronx,746151,Store,A,DOLLAR ZONE OF BROADWAY LLC,ONE DOLLAR ZONE,5675,BROADWAY,,,BRONX,NY,10463,0,POINT (-73.90305 40.8814)
Westchester,746024,Store,JAC,MIKE SUSHI INC,MIKE SUSHI,777,WHITE PLAINS ROAD,,,SCARSDALE,NY,10583,100,POINT (-73.80426 40.97465)
Kings,745991,Store,JAC,MAMI ELIA AND FAMILY INC,ELIA'S GOURMET DELI,310,86TH STREET,,,BROOKLYN,NY,11209,1500,POINT (-74.03062 40.62336)
Bronx,745839,Store,JAC,MOLINA MINI MARKET CORP,MOLINA MINI MARKET,1266,GRAND CONCOURSE,,,BRONX,NY,10456,0,POINT (-73.91617 40.83586)
Kings,745820,Store,A,MAXIMUM DOLLAR INC,MAXIMUM DOLLAR,252,BROADWAY,,,BROOKLYN,NY,11211,3100,POINT (-73.95957 40.70902)
Kings,745747,Store,JAC,KF ENNIS 86 LLC,FOOD UNIVERSE MARKET PL,1982-84,86TH STREET,,,BROOKLYN,NY,11214,6500,POINT (-73.99842 40.60471)
Nassau,745720,Store,JAC,WA & NC INC,EDIBLE ARRANGEMENTS 313,958,BROADWAY,,,WOODMERE,NY,11598,800,POINT (-73.70821 40.63011)
Kings,745719,Store,JAC,GAJAE SUSHI INC,GAJAE SUSHI,11,BROADWAY,,,BROOKLYN,NY,11249,0,POINT (-73.96828 40.71079)
Richmond,745689,Store,JABC,BAGELS BREAD & BUTTER INC,BAGELS BREAD & BUTTER,732,FOREST AVENUE,,,STATEN ISLAND,NY,10310,2000,POINT (-74.11392 40.62909)
Bronx,745662,Store,A,RISAS TRADING CORP,RISAS BROADWAY DISCOUNT,5657A,BROADWAY,,,BRONX,NY,10463,1000,POINT (-73.90362 40.88066)
New York,745507,Store,JAC,FAMILIA FRUIT MARKET CORP,FAMILIA FRUIT MARKET,3430,BROADWAY,,,NEW YORK,NY,10031,1500,POINT (-73.95286 40.82296)
New York,745422,Store,JAC,PAQUTERIA TULCINGO DIAMINTE 2 INC,PAQUTERIA,3480,BROADWAY,,,NEW YORK,NY,10031,1800,POINT (-73.95162 40.82467)
Kings,745376,Store,JAC,LA IDEAL MEAT MARKET CORP,LA IDEAL MEAT MARKET,4805,5TH AVENUE,,,BROOKLYN,NY,11220,900,POINT (-74.00934 40.64604)
New York,745362,Store,A,HEIGHTS GROCERY INC,HEIGHTS GROCERY,3801,BROADWAY,,,NEW YORK,NY,10032,1800,POINT (-73.94432 40.83497)
Kings,745332,Store,JAC,7 ELEVEN INC,7-ELEVEN STORE #41120H,241,ATLANTIC AVENUE,,,BROOKLYN,NY,11201,0,POINT (-73.99136 40.68935)
Queens,745262,Store,JAC,BHAKTI 42 INC,BHAKTI 42,42-39,MAIN STREET,,,FLUSHING,NY,11355,0,POINT (-73.82777 40.75408)
Bronx,745003,Store,JAC,WESTERN BEEF RETAIL INC,WESTERN BEEF,3629,WHITE PLAINS ROAD,,,BRONX,NY,10467,20000,POINT (-73.86515 40.88017)
Kings,744996,Store,A,GANTT  SIMMIE,DELI & SMOKE SHOP,1922,FULTON STREET,,,BROOKLYN,NY,11233,1000,POINT (-73.92218 40.6789)
Kings,744976,Store,JAC,GOLDEN CITRUS MARKET INC,FLATBUSH MARKET,752,FLATBUSH AVENUE,,,BROOKLYN,NY,11226,0,POINT (-73.95964 40.65452)
Kings,744908,Store,JAC,MONTAUK DELI CORP,MONTAUK DELI,2552,PITKIN AVENUE,,,BROOKLYN,NY,11208,1500,POINT (-73.8782 40.67451)
Queens,744902,Store,JAC,30-14 KINSHIP COFFEE INC,KINSHIP COFFEE,30-14,BROADWAY,,,ASTORIA,NY,11106,0,POINT (-73.92563 40.7621)
Kings,744831,Store,JAC,LUCKY DELI GOURMET CORP,LUCKY DELI GOURMET,932,BROADWAY,,,BROOKLYN,NY,11206,2000,POINT (-73.93567 40.69723)
New York,744792,Store,JAC,AZIZ DELI CORP,AZIZ DELI,3448,BROADWAY,,,NEW YORK,NY,10031,1800,POINT (-73.95249 40.82345)
New York,744790,Store,JAC,BUTTERFIELD MARKET GROUP INC,BUTTERFIELD MARKET MADI,1150,MADISON AVENUE,,,NEW YORK,NY,10028,0,POINT (-73.95908 40.78049)
Bronx,744657,Store,JAC,MOMMY JAMAICAN MARKET 1 CORP,MOMMY JAMAICAN MARKET 1,3508,WHITE PLAINS ROAD,,,BRONX,NY,10467,2000,POINT (-73.86599 40.87767)
Queens,744649,Store,JAC,QUEENS FOOD MARKET INC,QUEENS FOOD MARKET,70-60,BROADWAY,,,JACKSON HEIGHTS,NY,11372,700,POINT (-73.89409 40.74784)
New York,744632,Store,JAC,JALAPENO DELI CORP,JALAPENO DELI,1629,LEXINGTON AVENUE,,,NEW YORK,NY,10029,1500,POINT (-73.94783 40.79012)
New York,744507,Store,JAC,J.W. TRADING INC,J.W. TRADING,205,GRAND STREET,,,NEW YORK,NY,10013,1800,POINT (-73.99635 40.719)
New York,744443,Store,A,BROADWAY FAMILY MARKET INC,BROADWAY FAMILY MARKET,2795,BROADWAY,,,NEW YORK,NY,10025,500,POINT (-73.96778 40.80285)
Bronx,744436,Store,JAC,RIG FISH MARKET CORP,RIG FISH MARKET,4164,WHITE PLAINS ROAD,,,BRONX,NY,10466,0,POINT (-73.85786 40.89252)
Kings,744370,Store,JAC,COLLADO MEAT MARKET INC,COLLADO MEAT MARKET,1274,BROADWAY,,,BROOKLYN,NY,11221,1300,POINT (-73.92473 40.69102)
New York,744367,Store,JAC,BROADWAY GOURMET DELI 1 CORP,BROADWAY GOURMET,3750,BROADWAY,,,NEW YORK,NY,10032,2000,POINT (-73.94533 40.83328)
Bronx,744326,Store,JAC,DBODEGA FOOD CORP,D'BODEGA FOOD,2236,GRAND CONCOURSE,,,BRONX,NY,10457,1234,POINT (-73.90046 40.85626)
Albany,744059,Store,JAC,MADISON DELI GROCERY INC,MADISON DELI GROCERY,130,MADISON AVENUE,,,ALBANY,NY,12202,0,POINT (-73.75588 42.64605)
Bronx,743914,Store,A,SPEEDX GROUP INC,LUK OIL,2173,GRAND CONCOURSE,,,BRONX,NY,10453,500,POINT (-73.90156 40.85524)
Suffolk,743888,Store,JAC,MONSUREZ GUERRERO INC,DULCEMANIA III,210,BROADWAY,,,AMITYVILLE,NY,11701,0,POINT (-73.41722 40.67954)
Kings,743882,Store,JAC,OCEAN EATS LLC,OCEAN EATS,2150,FULTON STREET,,,BROOKLYN,NY,11233,1000,POINT (-73.91098 40.6783)
Queens,743839,Store,JAC,REINA DE LA NUBE DELI GROCERY COR,REINA DE LA NUBE DELI G,109-20,JAMAICA AVENUE,,,RICHMOND HILL,NY,11418,0,POINT (-73.83821 40.69618)
Kings,743804,Store,JAC,WESAM DELI & GROCERY INC II,WESAM DELI & GROCERY,1117,BROADWAY,,,BROOKLYN,NY,11221,1200,POINT (-73.92959 40.69378)
New York,743768,Store,JAC,111 GOURMET DELI CORP,111 GOURMET DELI,1665,MADISON AVENUE,,,NEW YORK,NY,10029,0,POINT (-73.94725 40.7967)
Saratoga,743753,Store,A,JAM16 LLC,BEEF JERKY OUTLET,514,BROADWAY,,,SARATOGA SPRINGS,NY,12866,1500,POINT (-73.78424 43.08453)
Westchester,743722,Store,JAC,CHESTNUT MARTS INC,CHESTNUT MARTS,154,BROADWAY,,,HAWTHORNE,NY,10532,700,POINT (-73.80299 41.10751)
Kings,743662,Store,A,JO TRADING INC,JO TRADING,1245,BROADWAY,,,BROOKLYN,NY,11221,18000,POINT (-73.92537 40.69139)
New York,743583,Store,JAC,IT' SUGAR LLC,IT' SUGAR,665,BROADWAY,,,NEW YORK,NY,10012,0,POINT (-73.99525 40.72722)
Chemung,743534,Store,JAC,M P CLEARY INC,ACES & EIGHTS GEN STR N,1156,BROADWAY,,,ELMIRA,NY,14904,5000,POINT (-76.81959 42.05566)
Ulster,743497,Store,JAC,HUDSON VALLEY CURRENT INC,TILDA'S KITCHEN & CURRE,630,BROADWAY,,,KINGSTON,NY,12401,0,POINT (-74.00524 41.92981)
Kings,743494,Store,JAC,1291 FOOD CORP,FOOD TOWN,1291,BROADWAY,,,BROOKLYN,NY,11221,15000,POINT (-73.92444 40.69085)
Kings,743493,Store,JAC,EVERGREEN MOE INC,EVERGREEN MOE,1291,BROADWAY,,,BROOKLYN,NY,11221,0,POINT (-73.92444 40.69085)
New York,743396,Store,JAC,4138 BROADWAY FOOD LLC,FOOD EMPORIUM,4138,BROADWAY,,,NEW YORK,NY,10033,5000,POINT (-73.9385 40.84599)
Bronx,743367,Store,JAC,SAM 3 DELI GROCERY INC,SAM 3 DELI GROCERY,2039,GRAND CONCOURSE,,,BRONX,NY,10453,1000,POINT (-73.90401 40.85218)
New York,743304,Store,JAC,SUSHILUX CORP,SUSHILUX@FAIRWAY MKT,2131,BROADWAY,,,NEW YORK,NY,10023,0,POINT (-73.98148 40.78079)
Erie,743259,Store,JAC,GRK2 ENTERPRISES INC,SUNOCO A PLUS,13320,BROADWAY,,,ALDEN,NY,14004,2000,POINT (-78.49176 42.90051)
Bronx,743217,Store,A,GR 99 CENT OUTLOOK INC,GR 99 CENT OUTLOOK,2330,GRAND CONCOURSE,,,BRONX,NY,10458,1300,POINT (-73.89934 40.85815)
Bronx,743090,Store,JAC,930-CLARIBEL DELI INC,930-CLARIBEL DELI,6665,BROADWAY,,,BRONX,NY,10471,1000,POINT (-73.89661 40.9104)
Queens,743078,Store,JAC,STOP ONE FOOD MARKET 171 CORP,STOP ONE FOOD MARKET 17,171-03,JAMAICA AVENUE,,,JAMAICA,NY,11432,2200,POINT (-73.7885 40.70751)
Queens,743070,Store,JAC,LEES FAMILY FARM CORP,LEES FAMILY FARM,2901,BROADWAY,,,ASTORIA,NY,11106,0,POINT (-73.92687 40.76267)
Otsego,742977,Store,JAC,SINGH FUELS INC,APPLE EXPRESS,472,MAIN STREET,,,ONEONTA,NY,13820,2000,POINT (-75.04664 42.45712)
New York,742906,Store,JAC,VSM NY HOLDINGS LLC,FAIRWAY MARKET OF 74TH,2131,BROADWAY,,,NEW YORK,NY,10023,25000,POINT (-73.98148 40.78079)
Bronx,742787,Store,JAC,HOSTOS DELI & GROCERY CORP,HOSTOS DELI & GROCERY,430,GRAND CONCOURSE,,,BRONX,NY,10451,0,POINT (-73.92821 40.81652)
Kings,742770,Store,JAC,SHADIN BANGLA GROCERY INC,SHADIN BANGLA GROCERY,509,CORTELYOU ROAD,,,BROOKLYN,NY,11218,1000,POINT (-73.9742 40.6384)
New York,742768,Store,JAC,HB DELI GROCERY CORP,HB DELI GROCERY,3787A,BROADWAY,,,NEW YORK,NY,10032,1800,POINT (-73.94484 40.83427)
Kings,742703,Store,JABCH,LILY BLOOM 86 INC,LILY BLOOM 86,1476-1480,86TH STREET,,,BROOKLYN,NY,11228,9000,POINT (-74.00986 40.61163)
Kings,742689,Store,JAC,OLMECA DELI GROCERY CORP,OLMECA DELI GROCERY,3229,FULTON STREET,,,BROOKLYN,NY,11208,700,POINT (-73.87592 40.68258)
Bronx,742676,Store,JAC,ANTILLANA MARKET FRESH CORP,ANTILLANA MARKET FRESH,13,EAST TREMONT AVENUE,,,BRONX,NY,10453,0,POINT (-73.9087 40.8515)
Queens,742630,Store,JAC,HANS KF CORP,KEY FOOD,148-35,JAMAICA AVENUE,,,JAMAICA,NY,11435,0,POINT (-73.80584 40.70185)
New York,742588,Store,JAC,SILVER MOON DELI INC,SILVER MOON DELI,3840,BROADWAY,,,NEW YORK,NY,10032,1800,POINT (-73.94328 40.83608)
Queens,742566,Store,JABC,BARAKAT HALA MARKET INC,BARAKAT HALA MARKET,7309,MAIN STREET,,,FLUSHING,NY,11367,1750,POINT (-73.82051 40.72438)
Bronx,742477,Store,JAC,CITY LINE FRUIT STORE CORP,CITY LINE FRUIT STORE,4710,WHITE PLAINS ROAD,,,BRONX,NY,10470,1200,POINT (-73.84999 40.90386)
Queens,742470,Store,JAC,MEGALANE FOOD CORP,FOOD EMPORIUM,2910,BROADWAY,,,ASTORIA,NY,11106,0,POINT (-73.92669 40.76258)
Kings,742428,Store,JAC,BROADWAY BIG APPLE DELI CORP,BROADWAY BIG APPLE DELI,1076,BROADWAY,,,BROOKLYN,NY,11221,0,POINT (-73.93099 40.6946)
Queens,742214,Store,JAC,NEW FAMILY FRESH MARKET CORP,NEW FAMILY FRESH MARKET,97-13,37TH AVENUE,,,CORONA,NY,11368,2500,POINT (-73.86945 40.75193)
New York,742083,Store,JAC,2755 DELI CORP,SIX CORNERS MARKETPLACE,2753-2755,BROADWAY,,,NEW YORK,NY,10025,1000,POINT (-73.96802 40.80117)
Kings,742010,Store,JAC,PANE CALDO INC,LE FRENCH TART DELI,306,COURT STREET,,,BROOKLYN,NY,11231,800,POINT (-73.99527 40.68363)
New York,741992,Store,JAC,NY OLIVES DELI AND GRILL INC,NY OLIVES DELI AND GRIL,4183,BROADWAY,,,NEW YORK,NY,10033,0,POINT (-73.93798 40.84772)
Bronx,741872,Store,A,TWIN 99CENTER VARIETY CORP,TWIN 99CENTER VARIETY,4738,WHITE PLAINS ROAD,,,BRONX,NY,10470,1000,POINT (-73.84973 40.9044)
New York,741820,Store,JAC,1424 LEXINGTON AVENUE FOOD CORP,EASTSIDE DELI,1424,LEXINGTON AVENUE,,,NEW YORK,NY,10128,0,POINT (-73.95225 40.78406)
Kings,741811,Store,JAC,2869 MEAT & PRODUCE CORP,C-TOWN SUPERMARKET,2869,FULTON STREET,,,BROOKLYN,NY,11207,5000,POINT (-73.88842 40.67876)
Queens,741688,Store,JAC,JASMINE DELI & GROCERY INC,JASMINE DELI & GROCERY,163-02,HILLSIDE AVENUE,,,JAMAICA,NY,11432,2000,POINT (-73.79915 40.70873)
New York,741584,Store,A,NEW DELI 1 CORP,NEW DELI,3660,BROADWAY,,,NEW YORK,NY,10031,2000,POINT (-73.94745 40.83038)
Queens,741562,Store,JAC,DON GABRIEL CORP,DON GABRIEL,42-05,BROADWAY,,,ASTORIA,NY,11103,900,POINT (-73.91715 40.75811)
Dutchess,741540,Store,JAC,TIVOLI GENERAL LLC,OPEN SECRET BAKERY,63,BROADWAY,,,TIVOLI,NY,12583,1300,POINT (-73.90983 42.05879)
Bronx,741497,Store,A,241 DELI GROCERY CORP,241 DELI GROCERY,4655,WHITE PLAINS ROAD,,,BRONX,NY,10470,450,POINT (-73.85055 40.90325)
New York,741447,Store,JAC,3805 FRESH MARKET CORP,MET FRESH ORGANIC SUPER,3805,BROADWAY,,,NEW YORK,NY,10032,0,POINT (-73.94432 40.83498)
Queens,741442,Store,JAC,LUPE & FEDERICO FOOD CORP,FINE FARE SUPERMARKET,90-01,JAMAICA AVENUE,,,WOODHAVEN,NY,11421,0,POINT (-73.8545 40.69286)
Queens,741400,Store,JAC,ORGANIC TOWN DELI AND GRILL INC,ORGANIC TOWN DELI AND G,5543,MYRTLE AVENUE,,,RIDGEWOOD,NY,11385,2500,POINT (-73.90694 40.70005)
Bronx,741390,Store,JAC,2285 GROCERY & FOOD CORP/ANTILLAN,ANTILLANA SUPERFOOD MAR,2285,GRAND CONCOURSE,,,BRONX,NY,10453,7000,POINT (-73.9003 40.85719)
Bronx,741363,Store,JAC,RSJ DELI GROCERY CORP,RSJ DELI GROCERY,109,EAST TREMONT AVENUE,,,BRONX,NY,10453,0,POINT (-73.90732 40.85065)
Suffolk,741333,Store,JAC,REEL KITCHEN INC,REEL KITCHEN,112A,MAIN STREET,,,KINGS PARK,NY,11754,0,POINT (-73.2576 40.88622)
Westchester,741323,Store,JAC,VPM ACQUISITION CO LLC,VILLAGE PRIME MEATS OF,475,MAIN STREET,,,ARMONK,NY,10504,1500,POINT (-73.71334 41.12863)
Queens,741311,Store,JAC,HILLSIDE HAAT BAZAAR INC,BISMILLAH SUPERMARKET,181-06,HILLSIDE AVENUE,,,JAMAICA,NY,11432,3200,POINT (-73.78149 40.71324)
Bronx,741308,Store,JAC,MAREA FISH MARKET INC,MAREA FISH MARKET,5219,BROADWAY,,,BRONX,NY,10463,0,POINT (-73.90934 40.87488)
Queens,741212,Store,JAC,BROADWAY GROCERY STORE INC,BROADWAY GROCERY STORE,8321,BROADWAY,,,ELMHURST,NY,11373,700,POINT (-73.87943 40.74069)
New York,741124,Store,JAC,FAR EAST ASIA MARKET LLC,FAR EAST ASIA MARKET,115,DELANCEY STREET,,,NEW YORK,NY,10002,0,POINT (-73.98799 40.71839)
Queens,741113,Store,JAC,PREMIUM OF BELLEROSE LLC,PREMIUM SUPERMARKET,256-11,HILLSIDE AVENUE,,,GLEN OAKS,NY,11004,0,POINT (-73.71139 40.73666)
Bronx,741091,Store,JABK,CIBAO BAKERY CORP,CIBAO BAKERY,2546B,WHITE PLAINS ROAD,,,BRONX,NY,10467,1000,POINT (-73.86739 40.86462)
Kings,741040,Store,JAC,DELI BROTHERS GROCERY INC,DELI BROTHERS GROCERY,905,BROADWAY,,,BROOKLYN,NY,11206,1000,POINT (-73.93663 40.69776)
Washington,740970,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #2,290,BROADWAY,,,FORT EDWARD,NY,12828,0,POINT (-73.58639 43.27917)
Bronx,740923,Store,JAC,FATBOY MARKET AND DELI INC,FATBOY MARKET AND DELI,3200,WHITE PLAINS ROAD,,,BRONX,NY,10467,1200,POINT (-73.86715 40.87167)
Bronx,740891,Store,JAC,POWER MART INC,POWER MART,3925,WHITE PLAINS ROAD,,,BRONX,NY,10466,800,POINT (-73.86123 40.88649)
Bronx,740870,Store,JAC,056 DELI & GROCERY CORP,056 DELI & GROCERY,2075,GRAND CONCOURSE,,,BRONX,NY,10453,0,POINT (-73.90299 40.85346)
Kings,740834,Store,JAC,R&G SEAFOOD CORP,R&G SEAFOOD,1551,BROADWAY,,,BROOKLYN,NY,11221,800,POINT (-73.91618 40.68613)
Dutchess,740815,Store,JACH,HUDSON VALLEY MARSHMALLOW CO LLC,HUDSON VALLEY MARSHMALL,510,MAIN STREET,,,BEACON,NY,12508,1100,POINT (-73.9633 41.50229)
Suffolk,740793,Store,JAC,ROLLS ROLLS INC,ROLLS ROLLS,205,WALL STREET,,,HUNTINGTON,NY,11743,0,POINT (-73.4254 40.87814)
Bronx,740698,Store,JAC,LAYAN INC,BROADWAY 1,5985,BROADWAY,,,BRONX,NY,10471,350,POINT (-73.89812 40.88992)
Orange,740684,Store,JAC,MAKI MARKET INC,MAKI MARKET,188,BROADWAY,,,NEWBURGH,NY,12550,2000,POINT (-74.01575 41.50033)
Westchester,740547,Store,JAC,I & J FRESH MARKET CORP,I & J FRESH MARKET,364,WASHINGTON STREET,,,PEEKSKILL,NY,10566,4000,POINT (-73.92575 41.28333)
Kings,740524,Store,JAC,SUPER GOURMET DELI INC,SUPER GOURMET DELI,7223,5TH AVENUE,,,BROOKLYN,NY,11209,1500,POINT (-74.02199 40.63107)
Queens,740513,Store,JAC,A&D MEXICAN DELI GROCERY CORP,A&D MEXICAN DELI GROCER,63-06,BROADWAY,,,WOODSIDE,NY,11377,0,POINT (-73.89894 40.7499)
New York,740501,Store,JAC,AMAZON RETAIL LLC,AMAZON GO,165,BROADWAY,,,NEW YORK,NY,10006,2780,POINT (-74.01025 40.70948)
Orange,740470,Store,JAC,MOZEB ASHRAF,MANHATTAN DELI,212,BROADWAY,,,NEWBURGH,NY,12550,0,POINT (-74.01692 41.50041)
New York,740408,Store,JAC,BROOKLYN DELI AND GRILL ORGANIC H,BROOKLYN DELI AND GRILL,4996,BROADWAY,,,NEW YORK,NY,10034,0,POINT (-73.91865 40.86843)
