the_geom,OBJECTID,LOC,Borough,Street_Nam,From_Stree,To_Street,Index,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_AM,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD,Oct20_AM,Oct20_PM,Oct20_MD,May21_AM,May21_PM,May21_MD,Oct21_AM,Oct21_PM,Oct21_MD,May22_AM,May22_pM,May22_MD,Oct22_AM,Oct22_PM,Oct22_MD
POINT (-73.96931991427776 40.693114646759874),29,29,Brooklyn,Myrtle Avenue,Vanderbilt Avenue,Clinton Avenue,N,,,,1129.0,1818.0,1182.0,735.0,1131.0,856.0,,,,622,1689,1135,609.0,1272.0,1122.0,660,1565,1237,955,1315,1366,1055,2432,1329,1073,2129,1228,601,1363,1764,1040,2223,1705,1182,2214,1843,1380,2585,1717,1090,3713,1457,812,1561,2025,1271,2267,1456,1453,2657,1568,1099,2481,1694,1419,2089,1621,1034,1719,2095,1495,2636,1860,1392,2237,2052,1249,2296,1724,,,,540.0,1775.0,1466.0,649.0,1544.0,1356.0,1033.0,1997.0,1527.0,996.0,1853.0,1625.0,830,1688,1484
POINT (-73.91307856842978 40.66933456193011),31,31,Brooklyn,Pitkin Avenue,Bristol Street,Hopkinson Avenue,Y,572.0,3355.0,2720.0,686.0,3312.0,3131.0,546.0,3372.0,3254.0,658.0,2555.0,2584.0,601,3753,1628,664.0,3174.0,2270.0,669,4368,3276,980,2255,2530,666,3112,2657,518,1647,1230,627,2010,2518,840,3388,2534,744,3365,2631,1791,3873,2863,672,2262,1622,757,2441,1922,938,2343,2222,701,2147,2251,636,2763,2358,844,2852,3258,562,2708,2244,807,2445,2582,584,2856,2020,594,2537,2240,485.0,3071.0,2744.0,292.0,2329.0,1805.0,230.0,2030.0,1765.0,573.0,2190.0,2281.0,528.0,2312.0,2085.0,454,1588,1714
POINT (-73.95475091689498 40.58754340485192),32,32,Brooklyn,Sheepshead Bay Road,East 14th Street,East 15th Street,Y,1580.0,2215.0,1785.0,1205.0,2953.0,1848.0,1579.0,3289.0,1781.0,1546.0,3624.0,2003.0,1582,3094,1967,1676.0,3513.0,1448.0,1614,3663,1784,1654,2423,1327,1554,3453,1893,1932,3776,1395,1881,2229,1706,1729,3396,1825,1541,2855,1271,1618,3041,1557,1418,2627,1366,1543,2706,1381,1576,3211,1220,1625,2555,1497,1845,2841,1365,1927,2664,1240,1849,2820,1374,1758,2840,1248,1730,2904,1449,1724,2663,938,1514.0,2644.0,1430.0,691.0,1952.0,1103.0,770.0,1791.0,953.0,1071.0,2210.0,998.0,1168.0,2544.0,1280.0,1270,2461,1365
POINT (-73.98960330219742 40.70286152715002),34,34,Brooklyn,Washington Street,Front Street,Water Street,N,546.0,1387.0,851.0,556.0,1550.0,826.0,544.0,1476.0,1390.0,549.0,1976.0,833.0,1181,995,1264,977.0,1188.0,1170.0,525,1892,1576,466,2048,809,558,2508,1232,732,1972,1469,604,1557,1002,257,1371,1406,742,3009,1408,849,2156,1547,737,3362,1691,780,3184,1349,487,1799,1588,750,3243,1877,930,3784,2763,838,2929,2517,874,3978,2340,986,3996,2905,1098,3574,3408,1137,4018,2936,,,,322.0,938.0,1471.0,481.0,1170.0,2195.0,632.0,2631.0,2440.0,875.0,3784.0,4173.0,1052,4281,6327
POINT (-74.01155687409947 40.704636651873756),35,35,Manhattan,Broad Street,Beaver Street,South William Street,Y,3469.0,3992.0,599.0,4214.0,12879.0,8077.0,4231.0,7042.0,1157.0,3906.0,7307.0,1171.0,4745,5954,1112,2421.0,6724.0,1030.0,3696,5944,737,4013,6014,922,3879,6839,853,4254,5989,1681,4495,4437,1175,4302,6257,1341,2865,4874,1273,3758,5843,1466,3666,5845,1149,3383,5154,954,4177,6445,993,4622,7161,1411,4632,7093,1580,4041,5893,1880,3522,6747,1715,4924,8303,2036,4374,6603,1756,4131,6471,2010,4100.0,7302.0,1669.0,707.0,1248.0,570.0,1158.0,2577.0,1168.0,1736.0,2711.0,1279.0,2143.0,4002.0,1470.0,2134,3643,1531
POINT (-74.01286204592034 40.70634164448271),36,36,Manhattan,Broadway,Morris Street,Exchange Place,Y,3660.0,8390.0,2361.0,4507.0,15554.0,12748.0,3110.0,7880.0,4098.0,4483.0,11912.0,3528.0,3085,7169,5281,5206.0,12034.0,6513.0,4896,11032,3907,4644,10890,6569,4357,9628,4097,3838,10699,6962,5462,9308,5350,5021,12183,6297,4964,12371,6990,5121,11809,7564,5744,12666,7947,5732,16251,4691,5416,14507,8321,3935,13111,7254,5079,11126,7116,3791,10156,7720,6274,14040,9265,7798,12650,8126,5221,19725,6818,4437,10726,9615,5049.0,11765.0,7029.0,398.0,1903.0,1337.0,1647.0,5041.0,3395.0,1901.0,4671.0,3884.0,2804.0,7018.0,5383.0,2432,4977,4877
POINT (-73.98219706247882 40.771813403011905),37,37,Manhattan,Broadway,West 63rd Street,West 64th Street,Y,1611.0,6764.0,4592.0,1805.0,5674.0,4111.0,1293.0,6024.0,5804.0,2616.0,8454.0,5178.0,1620,2654,5207,2718.0,6600.0,4236.0,1988,8750,5390,2447,9057,6147,1999,8878,5799,1687,7388,4793,2086,4690,8376,1881,8696,6809,1986,9375,6034,2577,9566,7064,1775,7707,5919,2686,7916,4462,1870,8996,7676,3950,11244,7146,2789,8673,5003,2338,8574,5944,1962,6832,5446,2091,9305,4663,2059,6194,6037,2122,7773,5259,1696.0,6864.0,4907.0,280.0,694.0,3555.0,1233.0,4932.0,3445.0,1899.0,5745.0,4966.0,1977.0,6730.0,4752.0,2096,7096,5391
POINT (-73.97713579908014 40.779680827631374),39,39,Manhattan,Columbus Avenue,West 75th Street,West 76th Street,N,1071.0,3037.0,3500.0,1189.0,2748.0,2523.0,895.0,2385.0,3910.0,1172.0,3306.0,3171.0,1041,1761,3084,2248.0,4408.0,2629.0,1507,3464,3633,1632,3907,3407,1520,4024,4157,1497,3598,2442,1603,2283,3703,1601,3898,4216,1676,4358,4968,1646,3998,4070,1451,4420,4246,1633,3272,3271,1218,4604,6597,2387,8626,3766,1892,4594,4162,1852,3277,4522,1558,3627,2690,1592,3626,2977,1524,3905,3780,1756,3794,2451,,,,706.0,1319.0,2407.0,867.0,3049.0,1873.0,1380.0,3121.0,2846.0,1300.0,3205.0,2756.0,1412,3425,3114
POINT (-73.98936305063111 40.71898935935359),40,40,Manhattan,Delancey Street,Orchard Street,Ludlow Street,Y,1085.0,2733.0,2529.0,1433.0,4104.0,2701.0,1015.0,2947.0,2718.0,958.0,2218.0,1635.0,869,1680,1378,1664.0,4708.0,2233.0,940,2702,2093,1396,2912,1861,1036,2741,2119,969,2606,1592,1451,2495,2514,1616,4262,3385,1472,4415,3776,1594,4278,2951,1558,4792,2809,1636,4480,2626,1357,4543,3367,1557,4809,1973,1746,5086,3197,1847,4847,3032,1647,4534,3295,1634,3238,2420,1851,4772,3249,1629,4010,3034,1704.0,4692.0,3351.0,318.0,832.0,1499.0,775.0,2652.0,2390.0,1269.0,3643.0,2764.0,1151.0,3285.0,2617.0,1220,3975,3264
POINT (-73.99265748471083 40.73559926423828),41,41,Manhattan,East 14th Street,Fifth Avenue,University Place,Y,2265.0,13723.0,4761.0,2084.0,13965.0,5004.0,3000.0,11119.0,10041.0,2682.0,14451.0,7391.0,2946,17128,7151,3135.0,15654.0,7300.0,2480,13830,6559,2952,14895,6008,2726,18830,9130,2803,16102,7005,2607,8641,8997,2730,13560,8102,3034,17519,8918,2930,14597,7377,3029,12888,8876,3248,14486,6765,3462,13830,9616,3868,15862,6103,3017,14947,7465,3979,16487,6253,3303,18021,10204,4251,19584,5078,2601,14123,6924,2973,11932,6408,1704.0,4692.0,7036.0,1045.0,4787.0,4543.0,1443.0,7443.0,3474.0,2181.0,8440.0,5148.0,2241.0,8784.0,4765.0,2435,10237,5805
POINT (-73.97514418621735 40.7613536109118),45,45,Manhattan,Fifth Avenue,East 54th Street,East 55th Street,Y,3081.0,16471.0,13891.0,3432.0,23840.0,11707.0,3974.0,25732.0,18273.0,4089.0,20929.0,16307.0,3385,20508,10507,8483.0,22495.0,11485.0,4013,18701,12727,3771,24601,12752,3285,26106,12370,3968,18993,15946,3189,14533,13555,3472,22800,14405,3858,20485,15398,3951,20202,14353,3616,20639,16089,3980,20528,15513,4113,26831,12417,3637,20999,11320,4443,22351,12712,4360,22274,12247,6445,23214,11394,2985,19551,11576,6266,23182,16299,3689,18048,16022,3892.0,16971.0,10229.0,1085.0,3180.0,2704.0,1669.0,8766.0,4615.0,1966.0,8098.0,6927.0,3139.0,12370.0,8790.0,3142,ND,10967
POINT (-73.99451531515767 40.71493552371377),46,46,Manhattan,Forsyth Street,Canal Street,Division Street,N,1373.0,7481.0,4703.0,1290.0,3506.0,3583.0,1190.0,4763.0,4504.0,1598.0,5879.0,5347.0,1269,5187,4981,2184.0,6998.0,3800.0,1353,5832,4961,2660,4606,3443,1150,5796,3298,1217,5186,2888,1153,3570,4359,1537,5951,4342,1586,4688,3965,1671,4954,3869,1552,5110,3810,1517,5461,3043,1297,6222,3029,1451,5129,2811,1258,4788,3174,1334,4059,2994,1391,6610,4469,1336,3305,2866,1509,6451,4437,1378,5535,3962,,,,551.0,1578.0,1929.0,684.0,2523.0,2255.0,844.0,2607.0,1880.0,1011.0,2462.0,2152.0,1013,2465,2741
POINT (-74.0084036486757 40.710553767460766),47,47,Manhattan,Fulton Street,Broadway,Nassau Street,Y,4530.0,9162.0,2495.0,3446.0,5498.0,1835.0,4614.0,9415.0,3553.0,5041.0,9322.0,2043.0,5539,8901,2464,2544.0,6708.0,2847.0,3922,7398,2319,4280,8945,4578,3881,7535,3855,4137,10248,4274,4192,6091,3172,4635,9180,3327,4543,8727,3473,4216,7922,3202,3425,7732,2698,3457,7212,1856,3595,8002,2259,4127,7037,2706,3460,8459,3542,4039,6740,3425,4637,9223,4792,3625,6414,3704,3191,6681,4242,3566,7838,4297,3712.0,7632.0,3569.0,1284.0,3050.0,2051.0,1869.0,5016.0,2536.0,2159.0,4357.0,2634.0,3055.0,6634.0,3443.0,2416,3954,4131
POINT (-74.00451806937401 40.70806272095774),48,48,Manhattan,Fulton Street,Cliff Street,Pearl Street,N,2593.0,6755.0,3167.0,1902.0,5113.0,2637.0,2112.0,8540.0,4686.0,2596.0,7309.0,2888.0,3544,7324,2992,2098.0,5479.0,2685.0,1982,6308,2593,2647,7119,2502,2633,8206,5151,2091,5561,3650,2611,4285,3775,2760,7767,3652,2887,7392,4899,2732,5578,3251,2466,5850,2506,2963,7062,2510,2584,5436,3590,3251,5359,3257,3207,9604,3429,2894,7597,3555,1977,4998,4729,2846,7266,2938,2610,6366,2705,2940,6723,4325,,,,733.0,1631.0,,1041.0,4049.0,2207.0,1430.0,3427.0,2018.0,1705.0,4818.0,2502.0,1747,4847,3254
POINT (-73.96888735867235 40.761264607952285),49,49,Manhattan,Lexington Avenue,East 57th Street,East 58th Street,Y,4502.0,21634.0,5687.0,4251.0,11296.0,5302.0,4034.0,20893.0,6619.0,4231.0,11009.0,5962.0,4122,8661,5705,3272.0,10679.0,4786.0,4123,11641,4676,5082,11880,4208,3742,12143,5814,3908,11014,4528,4678,8412,4332,4587,12345,4900,4138,12682,5924,4566,11639,5661,3800,14129,5956,4298,11716,5628,3205,8111,5894,5870,18125,3484,4931,12301,4583,4625,12007,4892,4489,12400,3894,4656,10732,4176,4218,9699,4155,3887,10451,3828,4483.0,10685.0,3991.0,1490.0,3093.0,2031.0,2293.0,5427.0,1853.0,3158.0,6341.0,2980.0,3350.0,7242.0,3203.0,3352,7207,3646
POINT (-73.96568512678532 40.77144062263457),50,50,Manhattan,Madison Avenue,East 71st Street,East 72nd Street,N,667.0,3760.0,3090.0,680.0,3204.0,2495.0,571.0,4254.0,3073.0,1014.0,2687.0,4099.0,677,1726,2088,635.0,3250.0,1817.0,706,2918,2830,832,3114,2340,712,3602,2895,611,2998,2159,837,2238,2492,966,3899,3283,729,3183,3102,858,3034,2455,722,3912,2633,739,2983,1630,760,3247,760,2235,7220,2690,718,2988,2480,2142,6911,2160,624,2681,2185,786,2495,1711,770,3779,1863,837,3191,1510,,,,530.0,1451.0,1326.0,591.0,2316.0,1408.0,0.0,0.0,0.0,742.0,2692.0,2057.0,792,2281,2846
POINT (-74.01098647762808 40.70733537559067),53,53,Manhattan,Wall Street,New Street,Nassau Street,Y,3784.0,5560.0,2733.0,8065.0,14469.0,8295.0,6842.0,11264.0,4814.0,7476.0,15167.0,4035.0,6149,9608,4402,3506.0,12635.0,5695.0,6247,12186,3755,6885,14303,4636,6485,13176,5906,6219,13724,6742,6004,7844,6167,6733,11023,5284,5354,11111,5430,5405,10140,5763,6072,10741,5827,7981,11310,4959,5681,10717,5430,6547,9135,6261,6759,14575,5836,6445,11300,6516,5733,10277,5651,5792,10494,6854,4643,10661,4623,4560,9628,5572,5453.0,9823.0,5141.0,,,,2253.0,4265.0,2048.0,2939.0,5154.0,2849.0,3530.0,7325.0,4243.0,3644,6021,4247
POINT (-73.98335689692979 40.75284360634036),58,58,Manhattan,West 40th Street,Avenue of the Americas,Fifth Avenue,Y,5454.0,11571.0,2639.0,5284.0,11208.0,2606.0,6019.0,10301.0,2175.0,6258.0,8616.0,2905.0,5064,10654,1664,6160.0,13985.0,2136.0,6479,11224,2868,7467,12457,2417,5540,11750,2943,6362,11933,1973,8340,8884,2616,7269,14127,3055,5930,12133,2321,6499,12234,3167,6020,12837,1693,7673,14418,2779,7085,13064,2413,6415,13370,2258,7257,20533,3407,6089,13479,2753,5923,11981,3672,7553,16774,3818,7334,16566,2921,7971,14682,3718,6275.0,13456.0,2734.0,1214.0,2049.0,1252.0,2136.0,3908.0,1660.0,2731.0,6873.0,2402.0,3830.0,9637.0,3431.0,3984,8986,2885
POINT (-73.97213382742112 40.75681083516387),62,62,Manhattan,Lexington Avenue,50th Street,51st Street,N,5730.0,10557.0,4805.0,5124.0,10010.0,2600.0,5659.0,12883.0,2968.0,6153.0,20071.0,3229.0,3614,7280,3131,4243.0,9235.0,2768.0,5812,12143,2781,4941,6260,2481,6003,12261,2708,4610,9722,3331,5610,7253,3075,6127,11630,3781,4876,9020,3524,6174,11573,3613,6038,13374,4716,7870,13083,3056,7312,13958,3041,5822,11681,2816,3851,10651,3776,4532,10213,2900,6508,12931,3247,5614,9926,2480,5786,13307,3289,5127,10525,2743,,,,860.0,1217.0,831.0,2040.0,2862.0,1550.0,2806.0,4888.0,1932.0,4223.0,7193.0,2060.0,3690,7378,2345
POINT (-73.97385284104773 40.75753624831214),63,63,Manhattan,Park Avenue,50th Street,51st Street,Y,6824.0,10653.0,2025.0,7868.0,12535.0,1137.0,5201.0,10800.0,1113.0,6059.0,18973.0,1460.0,4068,8087,1464,5358.0,10971.0,1560.0,5342,10497,1471,4100,10317,1538,5118,9773,1598,6862,9879,1985,5774,6601,1378,6951,13358,2125,6103,10628,1534,6458,11376,2239,6896,12018,1897,4229,8301,1001,7063,10745,1730,6279,11439,1405,4639,10165,1969,6021,9465,1811,7630,13654,1362,5576,10725,895,5166,9687,1209,5194,10011,1328,6202.0,10611.0,1111.0,835.0,1224.0,643.0,1587.0,2947.0,729.0,2855.0,4556.0,888.0,4136.0,7595.0,1064.0,4032,7409,1378
POINT (-73.97536263666144 40.7581734308352),64,64,Manhattan,Madison Avenue,50th Street,51st Street,N,4204.0,9307.0,3297.0,3997.0,9188.0,2239.0,2407.0,5634.0,2144.0,3139.0,8742.0,1643.0,2498,7990,2281,4161.0,9773.0,4224.0,3589,9460,2104,2451,6184,2054,3694,8962,2678,3582,8710,4161,3903,6394,2539,3810,9559,2740,3806,9398,2004,4026,11649,2676,3943,8762,2568,3999,9766,1974,3422,10220,2685,4049,10719,1974,4156,9431,2556,3384,9498,2059,3733,10241,2080,4032,9340,1479,3510,9823,2362,4203,10063,2649,,,,793.0,1440.0,868.0,1381.0,3195.0,1050.0,1920.0,3983.0,1314.0,2967.0,5806.0,1884.0,3051,6359,2074
POINT (-73.97697246269053 40.75885135958745),65,65,Manhattan,Fifth Avenue,50th Street,51st Street,N,5565.0,18855.0,12954.0,4759.0,14718.0,11866.0,5685.0,28077.0,16851.0,5006.0,20879.0,14623.0,3770,25268,11494,5019.0,20562.0,11446.0,4360,28429,10440,3503,16915,13044,4424,24803,11311,5211,18865,13084,3886,16819,12325,4642,25523,16286,4375,20567,13542,5217,20548,11730,4757,22388,16189,3900,16284,10995,5111,23968,17081,3311,12523,10262,5069,23382,15398,6371,20399,14273,3869,17620,14224,5221,22146,15522,3426,15500,10479,5498,25452,13558,,,,750.0,2764.0,4004.0,1368.0,6021.0,6181.0,2170.0,10583.0,9139.0,3387.0,16673.0,12336.0,3400,9090,14168
POINT (-73.98383919698608 40.76174395517827),68,68,Manhattan,Broadway,50th Street,51st Street,Y,3651.0,11214.0,9134.0,4158.0,12401.0,9352.0,2973.0,11426.0,7308.0,4316.0,14026.0,8443.0,3151,8475,6386,3934.0,11771.0,8480.0,3893,12065,5874,4222,13896,6784,3883,13185,5734,3680,11856,5699,3337,9640,7974,5221,13664,7514,3744,13639,9366,3841,13493,7740,3763,16899,7208,3693,9794,6292,3711,15263,7523,5050,13880,7486,4761,16986,7928,5458,15559,7641,4902,16330,6214,6000,17338,9274,2987,10248,7929,4564,14546,6917,3885.0,15193.0,7587.0,697.0,1823.0,1366.0,1284.0,4800.0,2585.0,2015.0,6078.0,4380.0,3065.0,12216.0,7095.0,2872,10477,6349
POINT (-73.89225364571111 40.74891155301485),72,72,Queens,37th Avenue,73rd Street,74th Street,Y,1002.0,4106.0,3142.0,1159.0,4398.0,3500.0,1058.0,4594.0,3367.0,1592.0,5184.0,3561.0,1236,4575,2782,988.0,3551.0,2574.0,1113,4116,2710,1361,4279,3412,1406,5929,3648,1410,5977,2618,1244,3408,3457,918,4761,3605,1210,3556,3188,1349,5683,3742,1347,4926,2877,1720,5356,2660,1215,4757,2564,1193,5667,2780,1258,5240,2319,1332,4646,2305,1256,4618,2495,1378,4375,2787,1242,4233,2949,1341,4960,2985,681.0,4187.0,3023.0,532.0,3816.0,2519.0,613.0,4621.0,2525.0,1166.0,4994.0,3348.0,1119.0,4480.0,3022.0,955,3516,3207
POINT (-73.84534157919526 40.72036574481485),74,74,Queens,Austin Street,71st Ave,70th Road,Y,622.0,4356.0,2227.0,514.0,3127.0,2891.0,1585.0,4355.0,2433.0,705.0,4216.0,2469.0,729,4351,2420,728.0,4407.0,2891.0,657,4232,2388,799,4039,3631,657,3971,4326,768,4435,3200,940,2985,3954,834,4530,4376,995,5334,5522,1166,5008,4238,787,4128,3621,840,4566,3357,1037,5267,4120,669,3653,3956,871,5007,3938,902,3818,3199,787,5835,4623,866,4765,2387,700,4454,4273,830,4906,2908,770.0,5059.0,3635.0,439.0,3174.0,2269.0,722.0,4396.0,2219.0,955.0,3451.0,3204.0,898.0,4340.0,2785.0,807,3516,3424
POINT (-73.89530306861195 40.70287665998953),76,76,Queens,Fresh Pond Road,Cypress Hills Street,70th Avenue,N,467.0,954.0,649.0,541.0,965.0,565.0,413.0,980.0,414.0,530.0,1028.0,463.0,511,827,447,484.0,875.0,514.0,429,919,636,509,911,590,444,1007,644,286,755,747,455,197,1241,482,799,603,426,918,607,442,1008,555,349,787,380,535,805,531,302,1017,425,662,975,643,515,661,385,531,668,346,499,559,391,371,491,376,176,311,191,151,254,195,,,,234.0,829.0,563.0,273.0,824.0,385.0,422.0,680.0,517.0,375.0,798.0,619.0,370,657,599
POINT (-73.79247827489311 40.71091966309366),77,77,Queens,Hillside Avenue,169th Street,170th Street,Y,1693.0,3280.0,2006.0,1429.0,2988.0,2165.0,836.0,3442.0,1693.0,923.0,3784.0,1553.0,799,3564,1854,826.0,3811.0,2184.0,889,3747,2154,977,3997,1710,991,3977,2348,1069,3531,1453,902,1904,2388,1063,3427,1615,1211,2973,1509,930,3392,1943,1314,4635,1970,668,3240,1791,824,3709,1899,982,4146,1805,988,3577,1712,959,3719,1668,824,3545,2480,1131,1691,1146,1015,2556,2657,1221,2820,2032,936.0,2520.0,1537.0,417.0,2194.0,1415.0,519.0,2334.0,1271.0,728.0,2477.0,1249.0,761.0,2522.0,1296.0,872,2443,1466
POINT (-73.93947115150922 40.74817129070962),78,78,Queens,Jackson Avenue,Queens Street,42nd Road,N,354.0,425.0,108.0,411.0,408.0,62.0,380.0,509.0,112.0,348.0,382.0,69.0,451,360,79,242.0,424.0,288.0,294,319,238,326,406,213,401,463,159,403,482,157,669,463,222,631,535,198,647,632,300,694,960,296,668,897,284,660,600,129,338,614,234,520,1081,264,526,1056,742,723,1211,326,707,999,758,818,959,522,884,1374,940,1009,1685,1473,,,,502.0,1150.0,857.0,794.0,1326.0,1141.0,942.0,1991.0,1372.0,915.0,2296.0,1718.0,743,1526,1788
POINT (-73.80593752065842 40.701822380718454),79,79,Queens,Jamaica Avenue,148th Street,149th Street,N,813.0,3336.0,2133.0,639.0,3384.0,2246.0,621.0,3020.0,2458.0,735.0,2789.0,1896.0,747,3443,2598,698.0,3324.0,1861.0,651,2492,2498,821,1942,2261,789,2601,2769,602,3152,2373,708,2150,2175,723,2766,2423,751,3245,2297,817,2821,2063,782,2766,2096,530,2948,1807,896,3321,2400,769,2291,2036,896,3171,2131,996,3328,1687,825,3599,1562,1625,3046,2379,887,3589,2486,900,2516,2302,,,,549.0,2132.0,1880.0,577.0,1612.0,1329.0,797.0,2527.0,1868.0,638.0,2332.0,687.0,613,2154,1613
POINT (-73.79726496612192 40.70450555044365),80,80,Queens,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,Y,1390.0,11407.0,5326.0,1636.0,12671.0,5988.0,949.0,8011.0,7008.0,1259.0,9860.0,4666.0,1286,9724,4969,1149.0,10148.0,5407.0,1149,7372,8770,1350,7149,6271,1495,11961,7961,1363,13426,9834,1566,7315,8328,1414,9346,7293,1521,8935,5882,1430,7896,7105,1359,10063,7273,1465,10097,7681,1215,6715,4764,1697,8924,4798,1280,6167,5079,1326,6383,4747,1413,9075,5155,1228,10284,7037,1366,8544,7393,1591,8103,5962,1238.0,9483.0,5662.0,610.0,4129.0,4080.0,801.0,6364.0,2782.0,1072.0,5044.0,4613.0,893.0,5082.0,4166.0,989,4620,3804
POINT (-73.85779008961042 40.6925963247586),81,81,Queens,Jamaica Avenue,86th Street,87th Street,N,790.0,2313.0,1864.0,894.0,2188.0,1597.0,644.0,2007.0,1531.0,776.0,2158.0,1746.0,758,1892,1710,678.0,1987.0,1478.0,784,2486,1634,842,2367,1397,788,1758,1952,1095,2465,1537,704,1157,1320,912,1925,1295,867,2065,1690,835,1902,1643,1005,1914,1652,1036,1874,1224,1159,2138,1616,1352,2203,1312,1005,1845,1425,1234,1685,1420,1190,1616,1585,887,1287,1524,1582,2187,1296,1602,2317,1422,,,,497.0,1640.0,1082.0,454.0,1511.0,987.0,741.0,1549.0,1205.0,769.0,1770.0,1109.0,656,1587,1170
POINT (-73.8309343552709 40.76118578331917),82,82,Queens,Main Street,37th Avenue,38th Avenue,Y,1805.0,6685.0,8266.0,1560.0,5818.0,7615.0,1444.0,5548.0,8784.0,1316.0,4706.0,9169.0,1563,5406,5867,2008.0,7670.0,6584.0,1558,6559,7886,1942,7235,6510,1644,8323,7368,2031,6043,6721,2450,5932,4723,2581,7948,8447,2266,8751,8554,2169,7998,7097,2068,8045,6733,2291,8105,4731,2333,8040,5555,1977,8652,5557,2005,7775,6579,2524,8379,6689,2782,8993,8675,3807,11109,7963,2457,8309,8395,2520,8521,6662,2179.0,8440.0,6409.0,1117.0,4167.0,5160.0,1285.0,6262.0,4399.0,1545.0,5455.0,6156.0,2140.0,5318.0,4845.0,1708,5554,6312
POINT (-73.78539020907581 40.69769336243358),83,83,Queens,Merrick Boulevard,108th Drive,169th Place,N,63.0,149.0,57.0,70.0,108.0,80.0,98.0,207.0,76.0,54.0,87.0,94.0,26,105,63,32.0,132.0,75.0,62,149,86,163,310,79,163,335,305,189,368,189,87,132,119,83,139,130,162,220,178,112,387,166,89,232,134,150,267,176,90,202,76,84,165,89,68,231,95,93,177,105,74,195,44,97,171,115,54,61,54,124,201,115,,,,40.0,75.0,53.0,67.0,172.0,62.0,77.0,171.0,81.0,62.0,124.0,79.0,47,106,106
POINT (-73.75250126721374 40.604023385262565),84,84,Queens,Mott Avenue,Smith Place,Central Avenue,N,927.0,2468.0,1985.0,661.0,2785.0,2132.0,1362.0,2309.0,1208.0,891.0,2311.0,1734.0,735,1958,1850,892.0,1952.0,2222.0,727,1796,2056,868,1543,1736,820,1836,2116,1131,3664,1430,692,1338,2454,850,2119,1983,658,2003,2007,728,1629,1618,1451,3319,2154,1017,2827,2025,1084,2030,1150,730,1659,1574,729,1581,1554,942,1791,1580,851,2248,1745,813,1644,1614,655,1006,1034,754,1186,1153,,,,589.0,1608.0,1432.0,714.0,1851.0,1080.0,941.0,1882.0,1350.0,720.0,1695.0,1286.0,574,1733,1221
POINT (-73.91018834116497 40.69967093544051),85,85,Queens,Myrtle Avenue,Palmetto Street,Woodbine Street,Y,1245.0,5324.0,5741.0,1342.0,5867.0,5109.0,1358.0,6221.0,3214.0,1468.0,4978.0,3577.0,1316,5135,3101,1128.0,5053.0,3619.0,1238,4634,3218,1541,5641,2977,1296,5433,3383,1349,5349,3560,1397,3596,3082,1378,4588,3706,1389,4999,3702,1487,4681,3449,1322,4948,3167,1572,4351,3291,1481,3756,2562,1328,2141,2505,1346,4035,2505,1350,4110,2605,1458,4242,2709,1271,3736,2391,1565,3514,2133,1461,2978,2106,990.0,4008.0,2479.0,658.0,2884.0,2439.0,627.0,2366.0,2483.0,1049.0,3287.0,2793.0,964.0,3777.0,2486.0,1077,3363,2411
POINT (-73.90192709081789 40.70048761323585),86,86,Queens,Myrtle Avenue,Weirfield Street,Centre Street,N,426.0,3161.0,3816.0,308.0,2797.0,5540.0,366.0,2892.0,2139.0,354.0,2980.0,2517.0,393,2719,2404,393.0,3305.0,2032.0,586,3877,3738,389,3363,2345,330,3107,2470,407,2949,2507,499,1704,2747,438,2654,3476,406,3181,2886,414,2953,3020,454,3287,3050,522,2789,2535,1139,2415,2466,1046,1948,2672,868,2668,1297,934,2761,1470,936,2820,2164,880,2624,1311,1286,1796,1083,1381,1922,1232,,,,256.0,1835.0,1658.0,325.0,2198.0,1621.0,444.0,1866.0,1843.0,422.0,2280.0,2063.0,376,1483,1908
